,player,age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,batting_avg,onbase_perc,slugging_perc,onbase_plus_slugging,TB,GIDP,HBP,SH,SF,IBB,notes
0,Dietrich Enns*,31,23,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,
1,Sosuke Genda*,29,108,456,414,39,110,8,8,2,17,12,4,30,72,.266,.317,.338,.655,140,6,1,11,0,0,
2,Shinya Hasegawa,20,37,68,65,6,12,4,0,0,3,2,1,3,21,.185,.221,.246,.467,16,1,0,0,0,0,
3,Katsunori Hirai,30,30,2,1,0,0,0,0,0,0,0,0,1,1,.000,.500,.000,.500,0,0,0,0,0,0,
4,Shota Hiranuma*,24,30,88,73,8,19,1,1,1,3,4,0,11,14,.260,.356,.343,.699,25,1,1,1,2,0,
5,Yuji Kaneko#,32,44,128,119,12,33,4,2,1,4,3,3,8,25,.277,.323,.370,.693,44,0,0,1,0,0,
6,Seiji Kawagoe*,29,50,159,139,10,36,7,2,2,14,2,2,18,41,.259,.346,.381,.727,53,1,1,0,1,1,
7,Ryota Kawano#,21,5,8,7,0,1,0,0,0,1,0,1,0,2,.143,.125,.143,.268,1,0,0,0,1,0,
8,Junichiro Kishi,25,45,83,73,10,15,1,2,2,7,1,1,5,9,.206,.284,.356,.640,26,0,3,2,0,0,
9,Yuto Koga,22,26,71,58,3,9,2,0,1,4,0,0,9,16,.155,.265,.241,.506,14,1,0,3,1,1,
10,Masato Kumashiro,33,43,14,10,6,2,0,0,0,0,0,1,0,4,.200,.200,.200,.400,2,0,0,4,0,0,
11,Takumi Kuriyama*,38,89,267,239,20,63,14,0,3,29,0,1,23,57,.264,.326,.360,.686,86,9,1,0,4,1,
12,Shoya Makino*,21,11,32,29,3,4,0,1,0,2,0,1,2,7,.138,.194,.207,.400,6,1,0,1,0,0,
13,Tomoya Mori*,26,102,412,366,45,92,21,3,8,38,2,1,41,66,.251,.328,.391,.718,143,11,1,3,1,0,
14,Daichi Nakaguma*,25,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,
15,Takeya Nakamura,38,88,294,276,24,54,8,0,12,31,0,0,14,76,.196,.242,.355,.597,98,7,3,0,1,0,
16,Seigo Nakayama*,23,1,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,
17,Manaya Nishikawa*,23,35,30,30,2,0,0,0,0,0,1,0,0,5,.000,.000,.000,.000,0,0,0,0,0,0,
18,Brian O'Grady*,30,123,465,404,42,86,24,0,15,46,2,1,54,129,.213,.312,.384,.696,155,8,5,0,2,3,
19,Shunsuke Sato*,22,12,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,
20,Chihiro Sumida*,22,16,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,
21,Shohei Suzuki*,24,58,227,212,14,53,10,1,1,13,1,4,9,24,.250,.279,.321,.600,68,2,0,5,1,0,
22,Wataru Takagi*,22,13,44,36,0,4,0,0,0,1,0,1,4,14,.111,.195,.111,.306,4,0,0,3,1,0,
23,Kona Takahashi,25,26,2,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,1,0,0,
24,Aito Takeda,25,121,393,366,34,89,19,0,9,28,9,4,10,70,.243,.267,.369,.635,135,7,2,14,1,0,
25,Natsuo Takizawa*,18,48,91,85,13,19,2,1,0,4,1,1,4,21,.224,.258,.271,.529,23,2,0,2,0,0,
26,Daisuke Togawa*,26,6,7,6,1,0,0,0,0,0,0,0,0,3,.000,.143,.000,.143,0,0,1,0,0,0,
27,Shuta Tonosaki,29,132,547,478,54,103,25,3,12,47,10,6,52,113,.216,.295,.356,.650,170,12,3,11,3,0,
28,Sena Tsuge,25,42,118,104,5,18,5,0,1,5,0,1,4,33,.173,.202,.250,.452,26,2,0,9,1,0,
29,Gakuto Wakabayashi,24,28,95,87,5,18,0,0,0,3,3,1,4,34,.207,.258,.207,.465,18,0,2,2,0,0,
30,Jantzen Witte,32,35,128,120,8,23,5,0,2,13,1,0,6,36,.192,.227,.283,.510,34,7,0,0,2,0,
31,Nien Ting Wu*,29,94,301,260,25,59,9,1,5,28,2,0,37,54,.227,.322,.327,.649,85,3,1,0,3,0,
32,Haruka Yamada,25,74,93,80,6,16,2,0,0,9,1,0,8,21,.200,.270,.225,.495,18,0,0,4,1,0,
33,Hotaka Yamakawa,30,129,528,448,62,119,17,0,41,90,0,0,68,114,.266,.375,.578,.953,259,12,11,0,1,13,
34,Kakeru Yamanobe,28,30,35,33,7,5,3,0,0,1,3,1,1,4,.152,.200,.242,.442,8,0,1,0,0,0,
35,Kaito Yoza,26,20,4,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,1,0,0,
